,Match,season_x,Winner,assists_Home,attempted_passes_Home,big_chances_created_Home,big_chances_missed_Home,clean_sheets_Home,clearances_blocks_interceptions_Home,completed_passes_Home,creativity_Home,dribbles_Home,ea_index_Home,element_Home,errors_leading_to_goal_Home,errors_leading_to_goal_attempt_Home,fouls_Home,goals_conceded_Home,goals_scored_Home,ict_index_Home,influence_Home,key_passes_Home,open_play_crosses_Home,own_goals_Home,penalties_conceded_Home,penalties_missed_Home,penalties_saved_Home,tackles_Home,target_missed_Home,threat_Home,expected_assists_Home,expected_goal_involvements_Home,expected_goals_Home,expected_goals_conceded_Home,assists_Away,attempted_passes_Away,big_chances_created_Away,big_chances_missed_Away,clean_sheets_Away,clearances_blocks_interceptions_Away,completed_passes_Away,creativity_Away,dribbles_Away,ea_index_Away,element_Away,errors_leading_to_goal_Away,errors_leading_to_goal_attempt_Away,fouls_Away,goals_conceded_Away,goals_scored_Away,ict_index_Away,influence_Away,key_passes_Away,open_play_crosses_Away,own_goals_Away,penalties_conceded_Away,penalties_missed_Away,penalties_saved_Away,tackles_Away,target_missed_Away,threat_Away,expected_assists_Away,expected_goal_involvements_Away,expected_goals_Away,expected_goals_conceded_Away
198,Bournemouth-vs-Sunderland,2016-17,A,1,534.0,3.0,2.0,0,31.0,463.0,292.2,16.0,0.0,1739,0.0,0.0,14.0,22,1,80.7,214.6,18.0,4.0,0,1.0,0,0,7.0,10.0,300.0,12.333333333333334,11.0,1.0,12.0,2,191.0,0.0,0.0,0,36.0,138.0,90.5,6.0,0.0,12308,0.0,0.0,16.0,9,2,45.7,217.8,6.0,1.0,0,0.0,0,0,12.0,0.0,150.0,7.5,2.0,2.0,9.0
199,Bournemouth-vs-Swansea,2016-17,H,2,448.0,1.0,0.0,11,51.0,357.0,139.5,13.0,0.0,2988,0.0,0.0,10.0,0,1,47.5,210.20000000000002,9.0,3.0,0,0.0,0,0,10.0,4.0,126.0,8.25,5.0,1.0,0.0,0,422.0,0.0,0.0,0,23.0,331.0,138.6,11.0,0.0,12507,0.0,1.0,9.0,20,0,34.2,104.6,4.0,12.0,1,0.0,0,0,8.0,5.0,100.0,7.0,5.0,0.0,12.0
200,Bournemouth-vs-Swansea,2017-18,H,1,326.0,2.0,3.0,10,46.0,242.0,135.1,5.0,0.0,4412,0.0,0.0,9.0,0,1,50.5,201.8,8.0,3.0,0,0.0,0,0,2.0,5.0,169.0,6.5,6.0,1.0,0.0,0,372.0,0.0,2.0,0,32.0,266.0,122.69999999999999,2.0,0.0,11983,0.0,0.0,8.0,9,0,40.8,135.2,6.0,3.0,0,0.0,0,0,12.0,5.0,148.0,6.0,5.0,0.0,9.0
201,Bournemouth-vs-Watford,2016-17,D,2,525.0,1.0,0.0,0,31.0,411.0,188.29999999999998,14.0,0.0,2339,0.0,0.0,6.0,22,2,63.5,252.0,12.0,3.0,0,0.0,0,0,7.0,6.0,194.0,9.0,8.0,2.0,11.0,2,221.0,1.0,0.0,0,41.0,129.0,65.8,2.0,0.0,13807,0.0,0.0,12.0,16,2,44.1,202.6,5.0,0.0,0,0.0,0,0,7.0,1.0,172.0,4.333333333333333,3.0,2.0,9.0
202,Bournemouth-vs-Watford,2017-18,A,0,372.0,0.0,0.0,0,31.0,280.0,54.2,5.0,0.0,934,0.0,0.0,5.0,20,0,32.3,145.8,2.0,1.0,0,0.0,0,0,4.0,1.0,122.0,3.0,1.0,0.0,11.0,1,203.0,1.0,2.0,7,22.0,152.0,105.39999999999999,6.0,0.0,9429,0.0,0.0,9.0,0,2,49.2,168.0,7.0,2.0,0,0.0,0,0,6.0,7.0,218.0,7.0,9.0,2.0,0.0
203,Bournemouth-vs-West Brom,2016-17,H,1,472.0,0.0,1.0,11,53.0,397.0,169.9,16.0,0.0,1739,0.0,1.0,9.0,0,1,57.4,232.0,9.0,3.0,0,0.0,0,0,14.0,5.0,172.0,6.333333333333333,6.0,1.0,0.0,1,306.0,1.0,1.0,1,43.0,219.0,140.7,6.0,0.0,10577,0.0,0.0,9.0,15,0,39.6,147.2,9.0,3.0,0,0.0,0,0,10.0,4.0,113.0,5.5,4.0,0.0,10.0
204,Bournemouth-vs-West Brom,2017-18,H,2,469.0,0.0,0.0,0,30.0,376.0,153.4,6.0,0.0,4412,0.0,0.0,6.0,10,2,58.4,256.0,10.0,2.0,0,0.0,0,0,7.0,3.0,176.0,9.5,5.0,2.0,10.0,0,287.0,1.0,1.0,1,42.0,201.0,110.4,1.0,0.0,13309,0.0,0.0,8.0,18,1,47.4,210.0,7.0,5.0,0,0.0,0,0,7.0,1.0,152.0,6.0,2.0,1.0,11.0
205,Bournemouth-vs-West Ham,2016-17,H,2,355.0,2.0,3.0,0,45.0,269.0,214.6,15.0,0.0,2988,1.0,0.0,20.0,22,3,79.5,298.6,14.0,8.0,0,0.0,2,0,13.0,8.0,281.0,9.2,11.0,3.0,11.5,2,332.0,1.0,0.0,0,47.0,256.0,185.9,9.0,0.0,14185,0.0,0.0,20.0,36,1,63.3,239.60000000000002,13.0,2.0,0,3.0,0,1,8.0,5.0,211.0,10.25,6.0,1.0,13.0
206,Bournemouth-vs-West Ham,2017-18,D,2,378.0,2.0,2.0,0,17.0,289.0,267.3,11.0,0.0,3222,2.0,0.0,11.0,30,2,87.6,243.79999999999998,19.0,11.0,0,0.0,0,0,7.0,10.0,363.0,8.833333333333334,12.0,2.0,12.666666666666666,1,250.0,1.0,1.0,0,51.0,179.0,101.4,7.0,0.0,13706,0.0,0.0,13.0,24,3,49.8,251.8,6.0,3.0,0,0.0,0,0,14.0,2.0,145.0,5.0,5.0,3.0,10.0
207,Bournemouth-vs-West Ham,2022-23,A,0,387.8604118993135,0.33428680396643784,0.16590389016018306,0,9.763348588863463,276.70022883295195,222.7,2.5238367658276126,0.0,14806,0.06578947368421052,0.05263157894736842,2.4660564454614797,44,0,57.2,195.6,2.072654462242563,0.6973684210526316,0,0.06578947368421052,0,0,2.1895499618611747,1.0528222730739893,154.0,1.0,2.15,1.1500000000000001,25.71,4,322.0899643175736,0.4101503759398496,0.19736842105263158,11,21.724973777337738,236.09987452333573,184.7,6.5485888776700545,0.0,15288,0.11842105263157894,0.15789473684210525,3.344462361902148,0,4,79.4,395.8,3.609317622609326,1.710989010989011,0,0.06578947368421052,0,0,3.5172652949191754,1.739569262138397,212.0,1.6400000000000001,3.9699999999999998,2.33,12.51
208,Bournemouth-vs-Wolves,2022-23,D,0,261.82093821510296,0.3211289092295957,0.13958810068649885,11,5.802822273073989,189.22654462242562,58.3,2.1817315026697175,0.0,5331,0.013157894736842105,0.02631578947368421,2.097635392829901,0,0,30.7,169.0,1.967391304347826,0.6578947368421053,0,0.05263157894736842,0,0,1.8079710144927537,0.9607170099160947,81.0,0.0,0.0,0.0,0.0,0,224.0,0.0,0.0,10,0.0,154.0,233.4,0.0,0.0,14199,0.0,0.0,0.0,0,0,58.6,166.2,0.0,0.0,0,0.0,0,0,0.0,0.0,186.0,0.0,0.0,0.0,0.0
209,Brentford-vs-Arsenal,2021-22,H,1,216.0,0.0,0.0,11,0.0,148.5,87.8,0.0,0.0,4386,0.0,0.0,0.0,0,2,42.2,219.8,0.0,0.0,0,0.0,0,0,0.0,0.0,113.0,0.0,0.0,2.0,0.0,0,392.0864577516404,0.5925480769230769,0.9352226720647774,0,14.375,299.53128926427473,291.2,4.810792004048583,0.0,2963,0.039473684210526314,0.12335526315789473,4.182129519754293,22,0,64.1,147.2,5.214638157894736,1.0346027327935223,0,0.08141447368421052,0,0,3.934280329470892,2.2892206477732793,208.0,0.0,0.0,0.0,0.0
